,pl,be,uk,ru,bg,sl,cs,en
1116,Carl Gustaf Mannerheim,Карл Густаў Эміль Манэргейм,Густав Карл,Карл Маннергейм,Карл Густав Манерхейм,Carl Gustaf Emil Mannerheim,Carl Gustaf Emil Mannerheim,Carl Gustaf Emil Mannerheim
1117,Cate Blanchett,Кейт Бланшэт,Кейт Бланшетт,Кейт Бланшетт,Кейт Бланшет,Cate Blanchett,Cate Blanchettová,Cate Blanchett
1118,Kim Dae-jung,Кім Дэ Джун,Кім Де Чжун,Ким Дэ Чжун,Ким Де Чун,Kim Dae Jung,Kim Te-džung,Kim Dae-jung
1119,Óscar Arias Sánchez,Оскар Арыяс Санчэс,Оскар Аріас,Оскар Ариас Санчес,Оскар Ариас Санчес,Óscar Arias,Óscar Arias,Óscar Arias
1120,Carl von Ossietzky,Карл фон Асецкі,Карл фон Осецький,Карл Осецкий,Карл фон Осиецки,Carl von Ossietzky,Carl von Ossietzky,Carl von Ossietzky
1121,Wangari Maathai,Вангары Маатаі,Вангарі Маатаї,Вангари Маатаи,Уангари Маатаи,Wangari Maathai,Wangari Maathaiová,Wangari Maathai
1122,Henry Kissinger,Генры Кісінджэр,Генрі Кіссинджер,Генри Киссинджер,Хенри Кисинджър,Henry Kissinger,Henry Kissinger,Henry Kissinger
1123,Frédéric Passy,Фрэдэрык Пасі,Фредерік Пассі,Фредерик Пасси,Фредерик Паси,Frédéric Passy,Frédéric Passy,Frédéric Passy
1124,Anwar as-Sadat,Анвар Садат,Анвар Садат,Анвар Садат,Ануар Садат,Anvar Sadat,Anvar as-Sádát,Anwar Sadat
1125,Menachem Begin,Менахем Бегін,Менахем Беґін,Менахем Бегин,Менахем Бегин,Menahem Begin,Menachem Begin,Menachem Begin
1126,Ralph Bunche,Ральф Банч,Ральф Банч,Ральф Банч,Ралф Бънч,Ralph Bunche,Ralph Bunche,Ralph Bunche
1127,Icchak Rabin,Іцхак Рабін,Іцхак Рабин,Ицхак Рабин,Ицхак Рабин,Jicak Rabin,Jicchak Rabin,Yitzhak Rabin
1128,Wojciech Jaruzelski,Войцех Ярузельскі,Войцех Ярузельський,Войцех Ярузельский,Войчех Ярузелски,Wojciech Jaruzelski,Wojciech Jaruzelski,Wojciech Jaruzelski
1129,Jacques Chirac,Жак Шырак,Жак Ширак,Жак Ширак,Жак Ширак,Jacques Chirac,Jacques Chirac,Jacques Chirac
1130,François Mitterrand,Франсуа Мітэран,Франсуа Міттеран,Франсуа Миттеран,Франсоа Митеран,François Mitterrand,François Mitterrand,François Mitterrand
1131,Georges Pompidou,Жорж Пампіду,Жорж Помпіду,Жорж Помпиду,Жорж Помпиду,Georges Pompidou,Georges Pompidou,Georges Pompidou
1132,Valéry Giscard d’Estaing,Валеры Жыскар д’Эстэн,Валері Жискар д'Естен,Валери Жискар д’Эстен,Валери Жискар д'Естен,Valéry Giscard d'Estaing,Valéry Giscard d'Estaing,Valéry Giscard d'Estaing
1133,Dag Hammarskjöld,Даг Хамаршэльд,Даґ Гаммаршельд,Даг Хаммаршёльд,Даг Хамаршелд,Dag Hammarskjöld,Dag Hammarskjöld,Dag Hammarskjöld
1134,Javier Pérez de Cuéllar,Хаўер Перэс дэ Куэльяр,Хав'єр Перес де Куельяр,Хавьер Перес де Куэльяр,Хавиер Перес де Куеляр,Javier Pérez de Cuéllar,Javier Pérez de Cuéllar,Javier Pérez de Cuéllar
1135,Mark Rutte,Марк Рутэ,Марк Рютте,Марк Рютте,Марк Рюте,Mark Rutte,Mark Rutte,Mark Rutte
1136,Husni Mubarak,Хосні Мубарак,Хосні Мубарак,Хосни Мубарак,Хосни Мубарак,Hosni Mubarak,Husní Mubárak,Hosni Mubarak
1137,Beatrycze ,Беатрыкс,Беатрікс,Беатрикс,Беатрикс Нидерландска,Beatrika Nizozemska,Beatrix Nizozemská,Beatrix of the Netherlands
1138,Lennart Meri,Ленарт-Георг Меры,Леннарт Мері,Леннарт Мери,Ленарт Мери,Lennart Meri,Lennart Meri,Lennart Meri
1139,Aleksander Kwaśniewski,Аляксандр Квасьнеўскі,Александр Квасневський,Александр Квасьневский,Александер Квашневски,Aleksander Kwaśniewski,Aleksander Kwaśniewski,Aleksander Kwaśniewski
1140,Tenzin Gjaco,Далай-лама XIV,Далай-лама XIV,Далай-лама XIV,Тензин Гяцо,Tenzin Gyatso,Tändzin Gjamccho,14th Dalai Lama
1141,Arnold Schwarzenegger,Арнольд Шварцэнэгер,Арнольд Шварценеггер,Арнольд Шварценеггер,Арнолд Шварценегер,Arnold Schwarzenegger,Arnold Schwarzenegger,Arnold Schwarzenegger
1142,Benazir Bhutto,Беназір Бхута,Беназір Бхутто,Беназир Бхутто,Беназир Бхуто,Benazir Buto,Bénazír Bhuttová,Benazir Bhutto
1143,Al Gore,Альберт Гор,Альберт Ґор,Альберт Гор,Ал Гор,Al Gore,Al Gore,Al Gore
1144,Muhammad Yunus,Мухамад Юнус,Мохаммад Юнус,Мухаммад Юнус,Мухамад Юнус,Mohamed Junus,Muhammad Yunus,Muhammad Yunus
1145,Szirin Ebadi,Шырын Эбадзі,Ширін Ебаді,Ширин Эбади,Ширин Ебади,Širin Ebadi,Širín Ebadiová,Shirin Ebadi
1146,Muhammad el-Baradei,Махамед аль-Барадэі,Мухаммед аль-Барадаї,Мохаммед Эль-Барадеи,Мохамед ел-Барадей,Mohamed El-Baradej,Muhammad Baradej,Mohamed ElBaradei
1147,Rigoberta Menchú Tum,Рыгаберта Менчу,Рігоберта Менчу,Ригоберта Менчу,Ригоберта Менчу,Rigoberta Menchú,Rigoberta Menchú,Rigoberta Menchú
1148,René Cassin,Рэнэ Касэн,Рене Кассен,Рене Кассен,Рене Касен,René Cassin,René Cassin,René Cassin
1149,George Marshall,Джордж Маршал,Джордж Маршалл,Джордж Маршалл,Джордж Маршал,George Catlett Marshall,George Catlett Marshall,George C. Marshall
1150,Jane Addams,Джэйн Адамс,Джейн Лаура,Джейн Аддамс,Джейн Адамс,Jane Addams,Jane Addamsová,Jane Addams
1151,Albert Schweitzer,Альберт Швейцэр,Альберт Швейцер,Альберт Швейцер,Алберт Швайцер,Albert Schweitzer,Albert Schweitzer,Albert Schweitzer
1152,Iwan Pawłow,Іван Пятровіч Паўлаў,Іван Павлов,Иван Павлов,Иван Павлов,Ivan Petrovič Pavlov,Ivan Petrovič Pavlov,Ivan Pavlov
1153,Norman Angell,Ральф Норман Энджэл,Ральф Енджелл,Норман Эйнджелл,Норман Ейнджъл,Norman Angell,Norman Angell,Norman Angell
1154,Linus Pauling,Лайнус Полінг,Лайнус Полінг,Лайнус Полинг,Лайнъс Полинг,Linus Carl Pauling,Linus Pauling,Linus Pauling
1155,Seán MacBride,Шон Мак-Брайд,Шон Макбрайд,Шон Макбрайд,Шон Макбрайд,Seán MacBride,Seán MacBride,Seán MacBride
1156,Elie Wiesel,Элі Візель,Елі Візель,Эли Визель,Ели Визел,Elie Wiesel,Elie Wiesel,Elie Wiesel
1157,Alva Myrdal,Альва Мюрдаль,Альва Мюрдаль,Альва Мюрдаль,Алва Мюрдал,Alva Myrdal,Alva Myrdalová,Alva Myrdal
1158,Alfonso Robles,Альфонса Гарсія Роблес,Альфонсо Гарсія Роблес,Альфонсо Гарсия Роблес,Алфонсо Гарсия Роблес,Alfonso García Robles,Alfonso García Robles,Alfonso García Robles
1159,Klas Pontus Arnoldson,Клас Понтус Арнальдсан,Клас Арнольдсон,Клас Арнольдсон,Клас Понтус Арнолдсон,Klas Pontus Arnoldson,Klas Pontus Arnoldson,Klas Pontus Arnoldson
1160,Fredrik Bajer,Фрэдрык Баер,Фредрик Баєр,Фредрик Байер,Фредрик Байер,Fredrik Bajer,Fredrik Bajer,Fredrik Bajer
1161,Carlos Saavedra Lamas,Карлас Сааведра Ламас,Карлос Сааведра Ламас,Карлос Сааведра Ламас,Карлос Сааведра Ламас,Carlos Saavedra Lamas,Carlos Saavedra Lamas,Carlos Saavedra Lamas
1162,Élie Ducommun,Элі Дзюкамен,Елі Дюкоммен,Эли Дюкоммен,Ели Дюкомен,Élie Ducommun,Élie Ducommun,Élie Ducommun
1163,Charles-Albert Gobat,Шарль Альбер Гоба,Шарль Гоба,Шарль Гоба,Шарл Албер Гоба,Charles Albert Gobat,Charles Albert Gobat,Charles Albert Gobat
1164,William Randal Cremer,Уільям Рэндал Крымер,Рандал Вільям Крімер,Уильям Кример,Уилям Рандъл Кримър,Randal Cremer,William Randal Cremer,Randal Cremer
1165,Bertha von Suttner,Берта фон Зутнер,Берта Зутнер,Берта Зутнер,Берта фон Зутнер,Bertha von Suttner,Bertha von Suttnerová,Bertha von Suttner
1166,Louis Renault ,Луі Рэно,Луї Рено,Луи Рено,Луи Рено,Louis Renault ,Louis Renault ,Louis Renault
1167,Ernesto Teodoro Moneta,Эрнеста Тэадора Манета,Ернесто Теодоро Монета,Эрнесто Монета,Ернесто Теодоро Монета,Ernesto Teodoro Moneta,Ernesto Teodoro Moneta,Ernesto Teodoro Moneta
1168,Auguste Beernaert,Агюст Беернарт,Огюст Бернарт,Огюст Беернарт,Огюст Бернарт,Auguste Marie Francois Beernaert,Auguste Marie François Beernaert,Auguste Beernaert
1169,Paul d’Estournelles de Constant,Поль Анры Бенжамен д’Этурнель дэ Канстан,Поль д'Етурнель де Констан,Поль Эстурнель де Констан,Пол д'Естурнел,Paul-Henri-Benjamin d'Estournelles de Constant,Paul Henri d'Estournelles de Constant,Paul Henri Balluet d'Estournelles de Constant
1170,Pepin Krótki,Піпін Кароткі,Піпін III Короткий,Пипин Короткий,Пипин III,Pipin Mali,Pipin III. Krátký,Pepin the Short
1171,Elihu Root,Эліу Рут,Еліу Рут,Элиу Рут,Илайхю Рут,Elihu Root,Elihu Root,Elihu Root
1172,Henri La Fontaine,Анры Лафантэн,Анрі Лафонтен,Анри Лафонтен,Анри Лафонтен,Henri La Fontaine,Henri La Fontaine,Henri La Fontaine
1173,Tobias Asser,Тобіяс Асер,Тобіас Ассер,Тобиас Ассер,Тобиас Михаел Карел Асер,Tobias Michael Carel Asser,Tobias Michael Carel Asser,Tobias Asser
1174,Alfred Hermann Fried,Альфрэд Герман Фрыд,Альфред Герман Фрід,Альфред Фрид,Алфред Херман Фрид,Alfred Hermann Fried,Alfred Hermann Fried,Alfred Hermann Fried
1175,Léon Bourgeois,Леон Буржуа,Леон Буржуа,Леон Буржуа,Леон Буржоа,Léon Bourgeois,Léon Bourgeois,Léon Bourgeois
1176,Charles Gates Dawes,Чарлз Гейтс Даўэс,Чарлз Доз,Чарлз Дауэс,Чарлс Дауес,Charles G. Dawes,Charles Gates Dawes,Charles G. Dawes
1177,Frank Billings Kellogg,Фрэнк Білінгс Келаг,Френк Біллінгс Келлог,Фрэнк Келлог,Франк Билингс Келог,Frank B. Kellogg,Frank B. Kellogg,Frank B. Kellogg
1178,Condoleezza Rice,Кандаліза Райс,Кондоліза Райс,Кондолиза Райс,Кондолиза Райс,Condoleezza Rice,Condoleezza Riceová,Condoleezza Rice
1179,Hillary Clinton,Хілары Клінтан,Гілларі Клінтон,Хиллари Клинтон,Хилъри Клинтън,Hillary Clinton,Hillary Clintonová,Hillary Clinton
1180,Michelle Obama,Мішэль Абама,Мішель Обама,Мишель Обама,Мишел Обама,Michelle Obama,Michelle Obamová,Michelle Obama
1181,Jacqueline Kennedy Onassis,Жаклін Кенэдзі,Жаклін Кеннеді,Жаклин Кеннеди,Жаклин Кенеди Онасис,Jacqueline Kennedy Onassis,Jacqueline Kennedyová Onassisová,Jacqueline Kennedy Onassis
1182,Aristotelis Onasis,Арыстоцель Анасіс,Аристотель Онассіс,Аристотель Онассис,Аристотел Онасис,Aristoteles Sokrates Homer Onassis,Aristoteles Onassis,Aristotle Onassis
1183,Hjalmar Branting,Карл Яльмар Брантынг,Карл Брантінг,Карл Брантинг,Карл Ялмар Брантинг,Hjalmar Branting,Hjalmar Branting,Hjalmar Branting
1184,Christian Lous Lange,Крысціян Лангэ,Лоус Крістіан,Кристиан Ланге,Кристиан Лоус Ланге,Christian Lous Lange,Christian Lous Lange,Christian Lous Lange
1185,Austen Chamberlain,Осцін Чэмберлен,Остін Чемберлен,Джозеф Чемберлен,Остин Чембърлейн,Austen Chamberlain,Austen Chamberlain,Austen Chamberlain
1186,Gustav Stresemann,Густаў Штрэземан,Густав Штреземан,Густав Штреземан,Густав Щреземан,Gustav Stresemann,Gustav Stresemann,Gustav Stresemann
1187,Aristide Briand,Арыстыд Брыян,Арістід Бріан,Аристид Бриан,Аристид Бриан,Aristide Briand,Aristide Briand,Aristide Briand
1188,Ludwig Quidde,Людвіг Квідэ,Людвиг Квідде,Людвиг Квидде,Лудвиг Квиде,Ludwig Quidde,Ludwig Quidde,Ludwig Quidde
1189,Ferdinand Buisson,Фердынанд Эдуард Бюісон,Фердинанд Бюїссон,Фердинанд Бюиссон,Фердинан Бюисон,Ferdinand Buisson,Ferdinand Buisson,Ferdinand Buisson
1190,Nathan Söderblom,Натан Сёдэрблюм,Натан Седерблюм,Натан Сёдерблум,Натан Сьодерблум,Nathan Söderblom,Nathan Söderblom,Nathan Söderblom
1191,Arthur Henderson,Артур Хендэрсан,Артур Гендерсон,Артур Хендерсон,Артър Хендерсън,Arthur Henderson,Arthur Henderson,Arthur Henderson
1192,Joseph Goebbels,Паўль Ёзэф Гебельс,Йозеф Геббельс,Йозеф Геббельс,Йозеф Гьобелс,Joseph Goebbels,Joseph Goebbels,Joseph Goebbels
1193,Nicholas Murray Butler,Нікалас Мюрэй Батлер,М'юррей Ніколас,Николас Батлер,Никълъс Мъри Бътлър,Nicholas Murray Butler,Nicholas Murray Butler,Nicholas Murray Butler
1194,Grigorij Rasputin,Рыгор Яфімавіч Распуцін,Григорій Распутін,Григорий Распутин,Григорий Распутин,Grigorij Jefimovič Rasputin,Grigorij Jefimovič Rasputin,Grigori Rasputin
1195,Robert Cecil ,Роберт Сэсіл,Роберт Сесіл,Роберт Сесил,Робърт Сесил,Robert Cecil,Robert Cecil ,Robert Cecil
1196,Cordell Hull,Кордэл Хал,Корделл Голл,Корделл Халл,Кордел Хъл,Cordell Hull,Cordell Hull,Cordell Hull
1197,John Boyd Orr,Джон Бойд Ор,Бойд Джон,Джон Бойд Орр,Джон Бойд Ор,John Boyd Orr,John Boyd Orr,John Boyd Orr
